@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute class {'1','10','11','2','3','4','5','6','7','8','9'}
@data
-3.639,0.418,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,'1'
-3.327,0.496,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,'6'
-2.12,0.894,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,'7'
-2.287,1.809,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,'8'
-2.598,1.938,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,'9'
-2.852,1.914,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,'10'
-3.482,2.524,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,'11'
-3.941,2.305,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,'2'
-3.86,2.116,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,'3'
-3.648,1.812,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,'4'
-3.032,1.739,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,'5'
-3.653,0.373,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,'1'
-3.237,0.436,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327,'6'
-2.135,0.954,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027,'7'
-2.304,1.784,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76,'8'
-2.54,2.144,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,'9'
-2.826,2.003,-0.738,0.801,-1.669,0.939,0.245,-0.257,0.256,-0.458,'10'
-3.582,2.374,-0.358,1.162,-1.953,0.621,0.339,0.355,0.415,-0.259,'11'
-3.951,2.25,0.127,1.772,-1.906,0.567,-0.432,1.045,0.598,-0.293,'2'
-3.783,1.974,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58,'3'
-3.673,1.811,-1.405,1.621,0.044,1.572,-0.453,0.745,-0.066,-0.733,'4'
-2.946,1.649,-1.167,0.788,-0.909,1.3,-0.562,0.902,-0.07,-0.842,'5'
-3.665,0.337,-0.641,1.791,-0.194,1.686,-0.359,0.57,-0.676,-0.841,'1'
-3.165,0.408,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.492,-0.425,'6'
-2.105,1.035,-1.705,0.231,-0.558,1.554,-0.649,0.71,-0.855,-0.151,'7'
-2.312,1.746,-1.51,1.019,-0.99,0.941,-0.488,0.208,0.033,-0.847,'8'
-2.635,2.147,-1.129,0.911,-1.407,1.095,-0.071,0.118,0.139,-0.685,'9'
-2.887,2.131,-0.83,0.682,-1.557,0.818,0.448,-0.382,0.207,-0.402,'10'
-3.635,2.25,-0.394,1.012,-1.693,0.117,0.665,0.281,0.343,-0.003,'11'
-3.986,2.325,0.102,1.633,-2.014,0.576,-0.344,1.003,0.566,-0.245,'2'
-3.712,1.816,-1.171,0.647,-0.767,1.698,-0.347,0.92,0.159,-0.359,'3'
-3.74,1.832,-1.384,1.587,0.049,1.642,-0.516,0.707,-0.169,-0.522,'4'
-2.859,1.627,-1.14,0.769,-0.948,1.39,-0.608,0.956,-0.204,-0.727,'5'
-3.624,0.305,-0.708,1.758,-0.194,1.675,-0.273,0.561,-0.577,-0.843,'1'
-3.062,0.351,-1.071,1.061,-0.355,1.99,-0.21,0.796,-0.358,-0.299,'6'
-2.081,1.05,-1.778,0.411,-0.518,1.46,-0.576,0.735,-0.866,-0.172,'7'
-2.289,1.845,-1.616,0.987,-0.876,1.044,-0.549,0.196,-0.07,-0.814,'8'
-2.724,2.067,-1.142,0.923,-1.157,1.17,-0.276,0.172,-0.008,-0.649,'9'
-3.015,2.232,-0.899,0.574,-1.331,0.546,0.61,-0.452,0.035,-0.156,'10'
-3.559,2.126,-0.445,1.053,-1.765,0.349,0.546,0.321,0.443,-0.118,'11'
-4.074,2.281,0.152,1.556,-1.613,-0.047,0.222,0.252,0.775,0.125,'2'
-3.618,1.576,-1.14,0.699,-0.741,1.633,-0.387,1.086,0.235,-0.388,'3'
-3.687,1.784,-1.593,1.603,0.123,1.424,-0.225,0.441,0.206,-0.714,'4'
-2.69,1.652,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303,-0.541,'5'
-3.593,0.29,-0.782,1.707,-0.175,1.662,-0.137,0.493,-0.492,-0.926,'1'
-3.046,0.387,-1.165,0.94,-0.386,1.978,-0.186,0.811,-0.394,-0.198,'6'
-2.255,0.902,-1.723,0.454,-0.524,1.453,-0.614,0.761,-0.885,-0.118,'7'
-2.299,1.848,-1.695,1.065,-0.861,1.047,-0.607,0.313,-0.253,-0.759,'8'
-2.911,1.928,-1.131,0.899,-0.911,1.111,-0.208,-0.047,-0.029,-0.539,'9'
-3.089,2.339,-0.973,0.463,-1.169,0.543,0.598,-0.45,-0.08,-0.039,'10'
-3.459,2.086,-0.595,0.937,-1.841,0.6,0.457,0.4,0.473,-0.211,'11'
-4.208,2.447,0.049,1.331,-2.088,0.585,-0.05,0.82,0.606,-0.302,'2'
-3.543,1.391,-1.22,0.699,-0.769,1.579,-0.379,1.158,0.181,-0.178,'3'
-3.684,1.774,-1.728,1.611,0.1,1.393,-0.193,0.554,0.245,-0.919,'4'
-2.596,1.56,-1.249,0.656,-1.095,1.292,-0.55,1.006,-0.15,-0.553,'5'
-3.604,0.235,-0.836,1.786,-0.153,1.642,-0.096,0.488,-0.524,-1.003,'1'
-3.171,0.49,-1.128,0.911,-0.388,2.014,-0.212,0.707,-0.551,-0.187,'6'
-2.302,0.85,-1.646,0.455,-0.488,1.491,-0.617,0.819,-0.887,-0.08,'7'
-2.368,1.727,-1.556,1.162,-0.819,0.941,-0.572,0.345,-0.279,-0.736,'8'
-3.141,1.873,-1.131,0.941,-0.759,1.224,-0.354,0.016,-0.218,-0.568,'9'
-3.065,2.372,-1.002,0.496,-1.295,0.86,0.327,-0.404,0.067,-0.155,'10'
-3.473,2.178,-0.82,0.706,-1.71,0.779,0.422,0.351,0.426,-0.267,'11'
-4.238,2.437,0.036,1.158,-2.127,0.554,0.12,0.823,0.565,-0.293,'2'
-3.546,1.258,-1.227,0.823,-0.702,1.734,-0.397,1.333,-0.277,0.013,'3'
-3.869,1.86,-1.646,1.612,0.044,1.531,-0.493,0.862,-0.106,-1.001,'4'
-2.666,1.516,-1.198,0.741,-1.066,1.24,-0.574,0.965,-0.13,-0.711,'5'
-4.102,0.209,0.414,0.423,0.985,1.434,0.663,0.036,-0.784,-0.668,'1'
-1.372,-0.03,-1.003,-0.388,-0.471,1.141,0.654,0.823,0.558,0.043,'6'
-1.816,0.458,-0.947,-0.341,0.085,0.75,0.144,0.462,-0.24,-0.266,'7'
-1.954,1.595,-1.593,0.37,-0.136,0.022,0.034,0.321,-0.19,-0.491,'8'
-2.654,2.39,-0.008,0.07,-1.063,0.304,-0.105,0.281,0.488,-0.382,'9'
-2.321,1.303,0.32,-0.085,-0.278,0.001,-0.094,-0.283,0.852,0.022,'10'
-3.141,3.314,-0.996,-0.394,-0.19,-0.312,0.137,0.631,0.547,-0.247,'11'
-3.941,3.353,0.486,-0.506,-1.12,0.101,0.297,0.711,-0.078,0.648,'2'
-4.161,2.937,0.157,0.336,-0.968,0.641,0.088,0.237,0.565,0.823,'3'
-4.52,2.231,-0.088,0.513,-0.528,1.246,0.198,0.242,0.161,0.769,'4'
-3.088,1.389,0.048,-0.216,-0.329,0.91,0.045,-0.075,0.101,-0.134,'5'
-4.275,0.162,0.728,0.662,0.94,1.269,0.711,0.073,-0.827,-0.655,'1'
-1.657,0.056,-1.044,-0.32,-0.316,1.321,0.638,0.8,0.298,-0.159,'6'
-1.709,0.486,-0.953,-0.346,0.02,0.786,0.145,0.564,-0.229,-0.322,'7'
-1.952,1.469,-1.375,0.105,-0.154,0.17,-0.047,0.336,-0.098,-0.41,'8'
-2.67,2.696,-0.231,-0.028,-1.014,0.486,-0.137,0.448,0.285,-0.482,'9'
-2.441,1.415,0.386,-0.335,-0.187,-0.079,0,-0.175,0.792,-0.026,'10'
-3.146,3.076,-0.683,-0.032,-0.693,-0.06,-0.267,0.476,0.982,-0.352,'11'
-3.902,3.586,0.334,-0.669,-1.087,0.255,0.461,0.812,-0.185,0.535,'2'
-4.267,3.01,0.172,0.028,-0.827,0.532,0.099,0.326,0.34,0.696,'3'
-4.65,2.455,0.013,0.681,-0.8,1.434,0.126,0.036,0.382,0.278,'4'
