@relation data
@attribute V2 {'1','2','3','4','5','6'}
@attribute V3 {'1','2','3','4'}
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 {'1','10','2','3','4','5','6','7','8','9'}
@attribute V7 {'1','2','3','4','5'}
@attribute V8 {'1','10','11','12','2','3','4','5','6','7','8','9'}
@attribute V9 {'1','2','3','4','5','6','7','8'}
@attribute V10 {'1','2'}
@attribute V11 {'1','2'}
@attribute V12 {'1','2'}
@attribute V13 {'1','2'}
@attribute V14 {'1','2'}
@attribute V15 {'1','2'}
@attribute V16 {'1','2'}
@attribute V17 {'1','2','3','4','5','6','7','8'}
@attribute V18 {'1','2','3','4'}
@attribute V19 {'1','2','3'}
@attribute V20 {'1','2'}
@attribute V21 {'1','2','3'}
@attribute V22 {'1','10','11','12','13','14','2','3','4','5','6','7','8','9'}
@attribute V23 {'1','2'}
@attribute V24 {'1','2'}
@attribute V25 {'1','2'}
@attribute V26 {'1','2'}
@attribute V27 {'1','2'}
@attribute V28 {'1','2','3','4','5','6','7'}
@attribute V29 {'1','2','3','4','5','6','7','8'}
@attribute class {'1','2','3','6','7'}
@data
'5','1',648,16,'10','1','4','5','2','2','1','2','2','2','1','5','1','1','1','1','2','1','1','2','1','1','1','5','3'
'3','1',29,3,'6','1','1','3','2','1','1','2','1','2','1','7','1','1','1','1','2','1','1','1','2','1','6','7','7'
'4','1',2388,20,'8','3','1','3','2','2','1','1','2','1','1','5','1','1','1','1','2','2','1','1','1','1','4','8','3'
'6','3',0,0,'1','1','1','5','2','1','2','2','2','1','2','2','1','1','1','1','1','1','2','2','2','1','2','7','2'
'3','1',0,0,'6','4','1','3','2','1','2','2','1','1','1','4','1','1','1','1','1','1','1','1','1','1','2','7','1'
'4','2',1247,7,'10','1','3','3','2','1','1','2','1','2','1','7','1','1','1','1','2','1','1','2','1','1','6','1','6'
'1','4',0,0,'1','1','2','3','1','1','2','1','2','1','2','8','1','1','1','1','1','1','1','1','2','1','7','2','2'
'1','4',0,0,'1','1','2','5','2','1','2','2','2','2','1','7','1','1','1','1','2','1','2','1','1','1','1','7','2'
'2','3',2777,28,'2','1','4','2','1','1','2','1','2','1','1','2','1','1','1','1','1','1','1','1','1','1','2','2','1'
'2','3',2777,28,'2','1','4','3','1','1','2','2','2','1','1','2','1','1','1','1','2','1','1','1','1','1','2','2','1'
'6','2',7690,15,'1','1','1','3','2','1','2','1','2','1','1','2','1','2','2','2','7','1','1','1','1','1','7','2','2'
'3','1',84,8,'4','1','4','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','1','1','6','7','1'
'1','4',19,0,'1','1','4','3','1','1','2','2','1','2','1','2','1','1','1','1','1','1','2','1','1','1','2','2','2'
'5','1',1,0,'8','1','1','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','1','1','7','7','3'
'5','1',143,90,'6','1','1','2','2','2','1','1','1','1','1','5','2','1','1','1','1','1','1','1','1','1','4','5','3'
'1','4',0,0,'1','4','1','3','1','1','2','2','1','2','1','2','1','1','1','1','1','1','1','2','1','1','2','2','2'
'3','1',31,10,'6','4','1','3','2','1','1','2','1','2','1','4','1','1','1','1','1','1','1','1','1','1','1','7','1'
