@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute class {'1','2'}
@data
75.95,552.659,624.426,389.765,661.331,471.167,475.279,309.494,68.8412,509.931,459.432,560.584,155.857,87.71,77.3438,976.266,884.425,51.045,128.595,49.8786,72.8786,228.423,1022.59,137.39,62.6425,282.279,593.614,28.2062,182.663,243.643,177.472,20.5138,'1'
23.74,2314.95,1342.97,1779.99,442.426,1712.21,1648.46,1644.43,79.775,567.932,300.875,4421.81,137.176,53.1475,72.965,1933.59,3510.47,237.201,100.118,265.425,144.865,1803.76,444.024,78.2087,875.031,761.379,492.724,36.02,1095.13,180.655,269.938,105.84,'2'
306.309,137.971,338.46,164.732,59.2062,196.437,209.219,333.625,41.92,233.416,177.372,442.392,56.7938,20.735,23.5575,415.311,1299.72,19.395,38.1888,30.9155,52.4179,460.568,91.065,95.155,53.1613,217.133,80.43,18.6287,89.63,112.37,87.18,9.13625,'1'
35.9588,987.799,660.61,723.401,204.949,597.738,576.64,973.169,26.7537,371.008,230.004,1325.39,48.6775,27.58,50.9588,438.516,2029.47,39.1688,59.6263,59.4155,110.573,799.945,125.245,36.2775,83.6387,321.62,253.775,12.4362,20.9013,120.389,75.0483,26.11,'2'
391.355,584.732,147.906,361.313,1146.78,434.2,464.31,124.02,165.446,260.438,526.685,340.535,389.087,129.958,141.938,817.341,423.889,59.2962,131.324,52.0583,34.3536,105.946,332.402,82.8538,92.3388,104.642,346.855,58.3512,126.88,96.51,120.325,38.9525,'1'
33.9725,2030.88,387.242,1386.82,203.122,1472.25,1453.34,325.045,38.7487,148.391,142.364,452.806,71.19,56.0275,73.5137,1815.52,468.495,116.408,52.7,102.843,23.969,213.551,149.178,77.2462,189.216,196.595,73.1875,40.5225,367.594,62.9825,212.697,77.1312,'2'
2076.9,228.286,149.523,154.055,687.791,199.052,214.583,126.43,99.9575,609.71,421.443,143.924,147.777,79.3913,100.817,737.708,153.526,39.9963,94.8863,39.6536,66.5214,11.9388,413.647,99.305,23.3825,195.65,521.095,32.035,170.614,141.727,66.225,20.04,'1'
56.9188,3886.99,598.497,1781.32,278.695,1731.36,1849.62,541.532,21.0462,132.456,198.056,1253.54,87.1575,45.7463,52.7125,1074.21,936.816,19.5837,64.4112,86.9262,103.007,382.571,215.883,54.2325,102.72,388.407,244.194,20.3088,248.947,54.14,247.48,19.0925,'2'
599.698,404.319,170.114,380.598,2032.78,519.254,503.652,183.706,518.665,1045.98,1567.9,418.68,1585.93,161.764,195.366,778.605,404.172,23.2563,558.171,23.5381,25.4119,87.9,695.385,186.984,31.36,161.104,876.116,160.256,73.8225,251.234,149.982,28.535,'1'
28.7675,4322.88,906.429,2514.77,299.5,2551.83,2510.98,774.279,62.5662,130.685,309.967,1770.68,165.184,63.8525,112.798,2492.1,1840.32,278.314,97.7425,213.482,67.1714,307.899,185.434,51.1888,621.849,445.744,197.025,85.5287,1106.54,74.295,363.617,111.954,'2'
175.551,416.171,365.394,333.179,2464.74,353.281,334.965,61.53,339.309,1744.46,1979.23,167.861,1732.63,326.668,295.826,873.449,134.197,175.296,788.38,180.283,45.9036,103.35,2641.14,540.015,184.174,526.65,1865.02,151.17,183.988,819.881,238.148,52.42,'1'
45.1,3552.98,1747.85,3321.15,435.978,2593.29,2679.89,2221.75,87.955,1088.26,384.055,3307.5,182.109,68.1813,96.7063,1724.64,3159.06,346.995,108.622,188.665,168.47,1031.06,507.045,82.8275,580.545,477.913,748.431,46.1138,515.008,433.976,391.003,124.857,'2'
120.72,632.746,304.489,494.247,680.166,575.875,528.863,244.738,121.035,481.275,303.261,491.158,359.052,152.88,103.395,1214.46,679.807,76.105,230.596,107.956,57.744,163.848,256.465,80.9137,126.64,260.174,326.693,53.8425,260.815,179.527,159.71,42.4575,'1'
11.3763,1872.49,1231.11,1491.05,264.763,1483.98,1422.48,1236.3,37.6413,157.026,328.525,1399.63,112.813,32.1125,45.6,2097.75,1419.18,94.79,111.734,129.802,39.1881,353.073,138.41,23.4287,202.07,319.444,174.505,22.14,362.449,108.147,217.108,58.98,'2'
93.3575,636.024,449.804,543.47,782.871,660.15,633.223,282.378,102.171,241.553,1167.26,420.63,373.41,153.996,132.467,1924.89,929.468,69.2813,212.871,82.1607,67.5262,644.871,177.225,116.103,52.1138,199.573,564.753,61.9487,242.78,140.905,196.908,34.9938,'1'
