@relation R_data_frame

@attribute V1 {1,2,3}
@attribute V2 {1,2,3}
@attribute V3 {1,2,3}
@attribute V4 {1,2,3}
@attribute V5 {1,2,3}
@attribute V6 {1,2,3}
@attribute V7 {1,2,3}
@attribute V8 {1,2,3}
@attribute V9 {1,2,3}
@attribute Class {1,2}

@data
3,3,3,3,2,2,3,2,2,2
3,3,3,3,2,2,2,3,2,2
3,3,3,3,2,2,2,2,3,2
3,3,3,3,2,2,2,1,1,2
3,3,3,3,2,2,1,2,1,2
3,3,3,3,2,2,1,1,2,2
3,3,3,3,2,1,2,2,1,2
3,3,3,3,2,1,2,1,2,2
3,3,3,3,2,1,1,2,2,2
3,3,3,3,1,2,2,2,1,2
3,3,3,3,1,2,2,1,2,2
3,3,3,3,1,2,1,2,2,2
3,3,3,2,3,2,3,2,2,2
3,3,3,2,3,2,2,3,2,2
3,3,3,2,3,2,2,2,3,2
3,3,3,2,3,2,2,1,1,2
3,3,3,2,3,2,1,2,1,2
3,3,3,2,3,2,1,1,2,2
3,3,3,2,3,1,2,2,1,2
3,3,3,2,3,1,2,1,2,2
3,3,3,2,3,1,1,2,2,2
3,3,3,2,2,3,3,2,2,2
3,3,3,2,2,3,2,3,2,2
3,3,3,2,2,3,2,2,3,2
3,3,3,2,2,3,2,1,1,2
3,3,3,2,2,3,1,2,1,2
3,3,3,2,2,3,1,1,2,2
3,3,3,2,2,1,3,2,1,2
3,3,3,2,2,1,3,1,2,2
3,3,3,2,2,1,2,3,1,2
3,3,3,2,2,1,2,1,3,2
3,3,3,2,2,1,1,3,2,2
3,3,3,2,2,1,1,2,3,2
3,3,3,2,2,1,1,1,1,2
3,3,3,2,1,3,2,2,1,2
3,3,3,2,1,3,2,1,2,2
3,3,3,2,1,3,1,2,2,2
3,3,3,2,1,2,3,2,1,2
3,3,3,2,1,2,3,1,2,2
3,3,3,2,1,2,2,3,1,2
3,3,3,2,1,2,2,1,3,2
3,3,3,2,1,2,1,3,2,2
3,3,3,2,1,2,1,2,3,2
3,3,3,2,1,2,1,1,1,2
3,3,3,2,1,1,3,2,2,2
3,3,3,2,1,1,2,3,2,2
3,3,3,2,1,1,2,2,3,2
3,3,3,2,1,1,2,1,1,2
3,3,3,2,1,1,1,2,1,2
3,3,3,2,1,1,1,1,2,2
3,3,3,1,3,2,2,2,1,2
3,3,3,1,3,2,2,1,2,2
3,3,3,1,3,2,1,2,2,2
3,3,3,1,2,3,2,2,1,2
3,3,3,1,2,3,2,1,2,2
3,3,3,1,2,3,1,2,2,2
3,3,3,1,2,2,3,2,1,2
3,3,3,1,2,2,3,1,2,2
3,3,3,1,2,2,2,3,1,2
3,3,3,1,2,2,2,1,3,2
3,3,3,1,2,2,1,3,2,2
3,3,3,1,2,2,1,2,3,2
3,3,3,1,2,2,1,1,1,2
3,3,3,1,2,1,3,2,2,2
3,3,3,1,2,1,2,3,2,2
3,3,3,1,2,1,2,2,3,2
3,3,3,1,2,1,2,1,1,2
3,3,3,1,2,1,1,2,1,2
3,3,3,1,2,1,1,1,2,2
3,3,3,1,1,2,3,2,2,2
3,3,3,1,1,2,2,3,2,2
3,3,3,1,1,2,2,2,3,2
3,3,3,1,1,2,2,1,1,2
3,3,3,1,1,2,1,2,1,2
3,3,3,1,1,2,1,1,2,2
3,3,3,1,1,1,2,2,1,2
3,3,3,1,1,1,2,1,2,2
3,3,3,1,1,1,1,2,2,2
3,3,2,3,3,2,2,2,3,2
3,3,2,3,2,3,3,2,2,2
3,3,2,3,2,2,3,2,3,2
3,3,2,3,2,2,3,1,1,2
3,3,2,3,2,1,3,2,1,2
3,3,2,3,2,1,3,1,2,2
3,3,2,3,1,2,3,2,1,2
3,3,2,3,1,1,3,2,2,2
3,3,2,2,3,3,2,3,2,2
3,3,2,2,3,3,2,2,3,2
3,3,2,2,3,2,3,2,3,2
3,3,2,2,3,2,2,3,3,2
