@relation data
@attribute V1 {'1','2'}
@attribute V2 {'1','2'}
@attribute V3 {'1','2'}
@attribute V4 {'1','2'}
@attribute V5 {'1','2'}
@attribute V6 {'1','2'}
@attribute V7 {'1','2'}
@attribute V8 {'1','2'}
@attribute V9 {'1','2'}
@attribute V10 {'1','2'}
@attribute V11 {'1','2'}
@attribute V12 {'1','2'}
@attribute V13 {'1','2'}
@attribute V14 {'1','2'}
@attribute V15 {'1','2'}
@attribute V16 {'1','2'}
@attribute V17 {'1','2'}
@attribute V18 {'1','2'}
@attribute V19 {'1','2'}
@attribute V20 {'1','2'}
@attribute V21 {'1','2'}
@attribute V22 {'1','2'}
@attribute V23 {'1','2'}
@attribute V24 {'1','2'}
@attribute V25 {'1','2'}
@attribute V26 {'1','2'}
@attribute V27 {'1','2'}
@attribute V28 {'1','2'}
@attribute V29 {'1','2'}
@attribute V30 {'1','2'}
@attribute V31 {'1','2'}
@attribute V32 {'1','2'}
@attribute V33 {'1','2'}
@attribute V34 {'1','2'}
@attribute V35 {'1','2'}
@attribute V36 {'1','2'}
@attribute V37 {'1','2'}
@attribute V38 {'1','2'}
@attribute V39 {'1','2'}
@attribute V40 {'1','2'}
@attribute V41 {'1','2'}
@attribute V42 {'1','2'}
@attribute V43 {'1','2'}
@attribute V44 {'1','2'}
@attribute V45 {'1','2'}
@attribute V46 {'1','2'}
@attribute V47 {'1','2'}
@attribute V48 {'1','2'}
@attribute V49 {'1','2'}
@attribute V50 {'1','2'}
@attribute V51 {'1','2'}
@attribute V52 {'1','2'}
@attribute V53 {'1','2'}
@attribute V54 {'1','2'}
@attribute V55 {'1','2'}
@attribute V56 {'1','2'}
@attribute V57 {'1','2'}
@attribute V58 {'1','2'}
@attribute V59 {'1','2'}
@attribute V60 {'1','2'}
@attribute V61 {'1','2'}
@attribute V62 {'1','2'}
@attribute V63 {'1','2'}
@attribute V64 {'1','2'}
@attribute V65 {'1','2'}
@attribute V66 {'1','2'}
@attribute V67 {'1','2'}
@attribute V68 {'1','2'}
@attribute V69 {'1','2'}
@attribute V70 {'1','2'}
@attribute V71 {'1','2'}
@attribute V72 {'1','2'}
@attribute V73 {'1','2'}
@attribute V74 {'1','2'}
@attribute V75 {'1','2'}
@attribute V76 {'1','2'}
@attribute V77 {'1','2'}
@attribute V78 {'1','2'}
@attribute V79 {'1','2'}
@attribute V80 {'1','2'}
@attribute V81 {'1','2'}
@attribute V82 {'1','2'}
@attribute V83 {'1','2'}
@attribute V84 {'1','2'}
@attribute V85 {'1','2'}
@attribute V86 {'1','2'}
@attribute V87 {'1','2'}
@attribute V88 {'1','2'}
@attribute V89 {'1','2'}
@attribute V90 {'1','2'}
@attribute V91 {'1','2'}
@attribute V92 {'1','2'}
@attribute V93 {'1','2'}
@attribute V94 {'1','2'}
@attribute V95 {'1','2'}
@attribute V96 {'1','2'}
@attribute V97 {'1','2'}
@attribute V98 {'1','2'}
@attribute V99 {'1','2'}
@attribute V100 {'1','2'}
@attribute V101 {'1','2'}
@attribute V102 {'1','2'}
@attribute V103 {'1','2'}
@attribute V104 {'1','2'}
@attribute V105 {'1','2'}
@attribute V106 {'1','2'}
@attribute V107 {'1','2'}
@attribute V108 {'1','2'}
@attribute V109 {'1','2'}
@attribute V110 {'1','2'}
@attribute V111 {'1','2'}
@attribute V112 {'1','2'}
@attribute V113 {'1','2'}
@attribute V114 {'1','2'}
@attribute V115 {'1','2'}
@attribute V116 {'1','2'}
@attribute V117 {'1','2'}
@attribute V118 {'1','2'}
@attribute V119 {'1','2'}
@attribute V120 {'1','2'}
@attribute V121 {'1','2'}
@attribute V122 {'1','2'}
@attribute V123 {'1','2'}
@attribute V124 {'1','2'}
@attribute V125 {'1','2'}
@attribute V126 {'1','2'}
@attribute V127 {'1','2'}
@attribute V128 {'1','2'}
@attribute V129 {'1','2'}
@attribute V130 {'1','2'}
@attribute V131 {'1','2'}
@attribute V132 {'1','2'}
@attribute V133 {'1','2'}
@attribute V134 {'1','2'}
@attribute V135 {'1','2'}
@attribute V136 {'1','2'}
@attribute V137 {'1','2'}
@attribute V138 {'1','2'}
@attribute V139 {'1','2'}
@attribute V140 {'1','2'}
@attribute V141 {'1','2'}
@attribute V142 {'1','2'}
@attribute V143 {'1','2'}
@attribute V144 {'1','2'}
@attribute V145 {'1','2'}
@attribute V146 {'1','2'}
@attribute V147 {'1','2'}
@attribute V148 {'1','2'}
@attribute V149 {'1','2'}
@attribute V150 {'1','2'}
@attribute V151 {'1','2'}
@attribute V152 {'1','2'}
@attribute V153 {'1','2'}
@attribute V154 {'1','2'}
@attribute V155 {'1','2'}
@attribute V156 {'1','2'}
@attribute V157 {'1','2'}
@attribute V158 {'1','2'}
@attribute V159 {'1','2'}
@attribute V160 {'1','2'}
@attribute V161 {'1','2'}
@attribute V162 {'1','2'}
@attribute V163 {'1','2'}
@attribute V164 {'1','2'}
@attribute V165 {'1','2'}
@attribute V166 {'1','2'}
@attribute V167 {'1','2'}
@attribute V168 {'1','2'}
@attribute V169 {'1','2'}
@attribute V170 {'1','2'}
@attribute V171 {'1','2'}
@attribute V172 {'1','2'}
@attribute V173 {'1','2'}
@attribute V174 {'1','2'}
@attribute V175 {'1','2'}
@attribute V176 {'1','2'}
@attribute V177 {'1','2'}
@attribute V178 {'1','2'}
@attribute V179 {'1','2'}
@attribute V180 {'1','2'}
@attribute V181 {'1','2'}
@attribute V182 {'1','2'}
@attribute V183 {'1','2'}
@attribute V184 {'1','2'}
@attribute V185 {'1','2'}
@attribute V186 {'1','2'}
@attribute V187 {'1','2'}
@attribute V188 {'1','2'}
@attribute V189 {'1','2'}
@attribute V190 {'1','2'}
@attribute V191 {'1','2'}
@attribute V192 {'1','2'}
@attribute V193 {'1','2'}
@attribute V194 {'1','2'}
@attribute V195 {'1','2'}
@attribute V196 {'1','2'}
@attribute V197 {'1','2'}
@attribute V198 {'1','2'}
@attribute V199 {'1','2'}
@attribute V200 {'1','2'}
@attribute V201 {'1','2'}
@attribute V202 {'1','2'}
@attribute V203 {'1','2'}
@attribute V204 {'1','2'}
@attribute V205 {'1','2'}
@attribute V206 {'1','2'}
@attribute V207 {'1','2'}
@attribute V208 {'1','2'}
@attribute V209 {'1','2'}
@attribute V210 {'1','2'}
@attribute V211 {'1','2'}
@attribute V212 {'1','2'}
@attribute V213 {'1','2'}
@attribute V214 {'1','2'}
@attribute V215 {'1','2'}
@attribute V216 {'1','2'}
@attribute V217 {'1','2'}
@attribute V218 {'1','2'}
@attribute V219 {'1','2'}
@attribute V220 {'1','2'}
@attribute V221 {'1','2'}
@attribute V222 {'1','2'}
@attribute V223 {'1','2'}
@attribute V224 {'1','2'}
@attribute V225 {'1','2'}
@attribute V226 {'1','2'}
@attribute V227 {'1','2'}
@attribute V228 {'1','2'}
@attribute V229 {'1','2'}
@attribute V230 {'1','2'}
@attribute V231 {'1','2'}
@attribute V232 {'1','2'}
@attribute V233 {'1','2'}
@attribute V234 {'1','2'}
@attribute V235 {'1','2'}
@attribute V236 {'1','2'}
@attribute V237 {'1','2'}
@attribute V238 {'1','2'}
@attribute V239 {'1','2'}
@attribute V240 {'1','2'}
@attribute V241 {'1','2'}
@attribute V242 {'1','2'}
@attribute Class {'1','2'}
@data
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','2','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','2','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','2','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1'
'1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','2','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','2','1','1','1','1'
