@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute Class {1,2}

@data
849,2177,598,1689,3114,-3406,3799,-2642,1578,-181,-212,1633,4664,1081,-1172,-166,578,1664,309,-3028,1
947,543,782,-449,-8,1316,756,-61,1604,1686,264,-382,1259,608,-2292,1008,2687,-1422,-606,2374,2
759,-314,898,-1743,2003,1117,911,136,-489,-144,982,112,598,474,2026,1431,-336,79,1123,302,2
531,1374,517,1226,1122,-4,-1227,2277,1083,888,-111,1063,2454,587,-744,1216,916,-476,6,-477,2
-1443,1065,2071,207,-865,-786,2655,-366,971,-341,221,4195,-117,-2694,14,4097,1356,-944,-602,2348,1
-258,-4696,-519,6469,-1878,-557,-62,5572,-62,1813,499,1299,-1926,61,-2941,-1953,-1007,-1042,1835,-1196,1
-636,-222,-3034,688,1388,-559,412,1163,1887,4408,-3277,1538,222,-993,412,114,314,1566,-517,-938,1
1144,346,77,112,146,1337,174,23,1299,-6,-801,-32,398,-434,1956,109,-242,1629,-81,-572,2
1839,3036,-11,394,188,-503,762,-682,2188,693,1115,1662,619,951,1568,76,638,51,41,837,2
-656,-1706,4477,-293,-432,1934,2013,672,1193,-277,2025,1305,-2008,179,-1327,1452,-1402,-2894,-151,126,1
-984,792,831,21,1531,1739,2641,105,554,-236,-651,605,2459,-1611,1964,-201,-1229,-826,-1822,1662,2
-593,878,-1045,843,-1907,-1038,861,-1764,487,2143,481,952,939,782,1219,-475,1146,221,-462,-112,2
1225,2547,-1182,4016,-521,-2396,-498,-2936,-1105,6,-1953,-3867,1372,-1267,403,-296,-972,114,2326,1723,1
345,-35,-3081,2445,-1016,671,-12,471,143,594,-1295,2375,-1081,195,244,-123,-1711,-576,2607,3568,1
697,1029,-459,-3736,-2565,3389,-892,-1674,-1966,-482,-727,-512,-331,717,1628,155,-531,-1083,124,-1507,1
-942,259,-182,5,158,-84,1068,1139,474,57,414,175,1896,2669,1139,5,252,1222,1036,-946,2
1007,242,1601,1689,-373,-1713,2086,74,965,2,-381,-51,-734,-1066,-1293,692,1072,-815,-6,274,2
366,3128,-4531,-1283,3117,-35,1211,-7,859,-1906,-66,-252,1683,1777,-2568,-2011,1384,-619,4193,-2332,1
261,1758,-177,-146,-57,-763,1715,1369,461,2187,446,-76,112,1285,-205,1383,-124,-1022,2562,-319,2
-325,183,2084,42,931,2018,57,614,106,-29,-83,-76,503,1316,192,634,-78,1104,666,823,2
