@relation data
@attribute V1 {'1','10','11','12','13','14','15','16','17','18','19','2','20','21','22','3','4','5','6','7','8','9'}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute class {'1','10','11','12','13','14','15','16','17','18','19','2','20','21','22','23','24','3','4','5','6','7','8','9'}
@data
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.893,'1'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.45,'12'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.791,'18'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.557,'19'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.114,'20'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.868,'21'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.09,'23'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0,'22'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,67.655,'24'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.324,'2'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.683,'3'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,24.057,'4'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.779,'5'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.779,'6'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.467,'8'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.635,'7'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.893,'9'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,67.655,'10'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.138,'13'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.779,'11'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.893,'14'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.917,'15'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.09,'16'
'1',690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,2.102,'17'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,9.035,'1'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,9.939,'12'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,2.711,'18'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,20.781,'19'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,7.228,'20'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,1.807,'21'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,885.438,'23'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,2.711,'22'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,885.438,'24'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,24.395,'2'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,10.842,'3'
'16',16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.741058,1,0.700042,6.1012,93.1399,0.2893,2.7416,0.0495,5.844444,54.385859,27.105,'4'
